SEASON,GAME_ID,DATE,HOME,AWAY
20062007,10001,09/17/2006,NJD,BOS
20062007,10002,09/17/2006,CBJ,NSH
20062007,10003,09/17/2006,PHX,EDM
20062007,10004,09/17/2006,CGY,FLA
20062007,10005,09/18/2006,DAL,ATL
20062007,10006,09/18/2006,TOR,BUF
20062007,10007,09/18/2006,EDM,FLA
20062007,10008,09/18/2006,ANA,LAK
20062007,10009,09/19/2006,PIT,OTT
20062007,10010,09/19/2006,CBJ,BUF
20062007,10011,09/19/2006,NJD,NYR
20062007,10012,09/19/2006,MTL,BOS
20062007,10013,09/19/2006,MIN,DET
20062007,10014,09/19/2006,EDM,PHX
20062007,10015,09/19/2006,LAK,SJS
20062007,10016,09/19/2006,CHI,STL
20062007,10017,09/19/2006,COL,DAL
20062007,10018,09/19/2006,CGY,VAN
20062007,10019,09/20/2006,ATL,FLA
20062007,10020,09/20/2006,NYR,NJD
20062007,10021,09/20/2006,PIT,PHI
20062007,10022,09/20/2006,WSH,TBL
20062007,10023,09/20/2006,MTL,BOS
20062007,10024,09/20/2006,OTT,TOR
20062007,10025,09/20/2006,PHX,DAL
20062007,10026,09/20/2006,ANA,SJS
20062007,10027,09/21/2006,PHI,NJD
20062007,10028,09/21/2006,NSH,CBJ
20062007,10029,09/21/2006,CGY,EDM
20062007,10030,09/21/2006,MIN,STL
20062007,10031,09/21/2006,CHI,FLA
20062007,10032,09/21/2006,DET,COL
20062007,10033,09/21/2006,SJS,VAN
20062007,10034,09/22/2006,CAR,NSH
20062007,10035,09/22/2006,NYI,BOS
20062007,10036,09/22/2006,PIT,WSH
20062007,10037,09/22/2006,TOR,MTL
20062007,10038,09/22/2006,OTT,BUF
20062007,10039,09/22/2006,CBJ,CHI
20062007,10040,09/22/2006,DET,TBL
20062007,10041,09/22/2006,ANA,VAN
20062007,10042,09/22/2006,DAL,PHX
20062007,10043,09/23/2006,ATL,STL
20062007,10044,09/23/2006,NYI,BOS
20062007,10045,09/23/2006,NYR,FLA
20062007,10046,09/23/2006,MTL,TOR
20062007,10047,09/23/2006,PHI,OTT
20062007,10048,09/23/2006,PIT,BUF
20062007,10049,09/23/2006,CHI,CBJ
20062007,10050,09/23/2006,EDM,CGY
20062007,10051,09/23/2006,SJS,ANA
20062007,10052,09/23/2006,LAK,COL
20062007,10053,09/23/2006,NSH,CAR
20062007,10054,09/24/2006,WSH,NJD
20062007,10055,09/24/2006,PIT,PHI
20062007,10056,09/24/2006,TBL,DAL
20062007,10057,09/24/2006,TOR,OTT
20062007,10058,09/24/2006,CBJ,CAR
